system:index,ADM2_NAME,.geo
0,Karatu,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Iringa Rural,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Kilolo,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,Mbulu,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,Kisarawe,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Mkuranga,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Kahama,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Newala,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,Tandahimba,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,Kwimba,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,Misungwi,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,Mbarali,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Mbeya Rural,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Kishapu,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,Shinyanga Rural,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,Morogoro,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,Mvomero,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,Handeni,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,Handeni Township Authority,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,Kilindi,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,Mkinga,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,Muheza,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,Chemba,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,Kondoa,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,Bukombe,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,Geita,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,Mbogwe,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,Nyang'wale,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,Karagwe,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,Kyerwa,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,Mlele,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,Mpanda Rural,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,Mpanda Urban,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,Buhigwe,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,Kakonko,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,Kasulu,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,Kasulu Township Authority,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,Kibondo,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,Kigoma Rural,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,Uvinza,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,Butiama,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,Musoma,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,Mbozi,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,Momba,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,Gairo,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,Kilosa,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,Magu,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,Njombe Rural,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,Njombe Urban,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,Wanging'ombe,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,Kalambo,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,Sumbawanga Rural,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,Mbinga,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,Nyasa,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,Bariadi,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,Busega,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,Itilima,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,Ikungi,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,Iramba,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,Mkalama,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,Singida,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,Kaliua,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,Urambo,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,Arusha,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,Arusha Urban,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,Longido,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,Meru,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,Monduli,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,Ngorongoro,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,Ilala,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,Kinondoni,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,Temeke,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,Bahi,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,Chamwino,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,Dodoma Urban,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,Kongwa,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,Mpwapwa,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,Chato,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,Iringa Urban,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,Mafinga Township Authority,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,Mufindi,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,Biharamulo,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,Bukoba Rural,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,Bukoba Urban,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,Missenyi,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,Muleba,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,Ngara,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,Micheweni,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,Wete,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,Kaskazini A,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,Kaskazini B,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,Kigoma Municipal-Ujiji,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,Hai,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,Moshi,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,Moshi Municipal,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,Mwanga,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,Rombo,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,Same,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,Siha,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,Chake Chake,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,Mkoani,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,Kati,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,Kusini,"{""type"":""MultiPoint"",""coordinates"":[]}"
